date,actual,point_forecast,brier,logloss,baseline_brier,baseline_logloss
2020-05-28,76,76.09896795404859,0.09253675246929094,0.3328375454579509,0.09957369614512471,0.37473431007108504
2020-05-29,81,76.36240818104969,0.09540490510597757,0.3516995059999827,0.09511451247165531,0.3435297695932264
2020-05-30,81,76.62391807530034,0.0962744321143083,0.35685254488158563,0.09885374149659863,0.3672452891175037
2020-05-31,70,76.8834873858641,0.09686560070971811,0.36213152720317143,0.0962596371882086,0.3499052583177256
2020-06-01,70,77.14110203282193,0.0972319813873113,0.36572170617602745,0.09595124716553287,0.349698242931638
2020-06-02,72,77.39674397848239,0.09478563497090992,0.34889973698070653,0.0974716553287982,0.35977855939828707
2020-06-03,79,77.50269034221228,0.09111632816862086,0.326223830434325,0.09821957815035157,0.36912741415747846
2020-06-04,84,77.75670831959259,0.09768499832305905,0.3709802535973031,0.09886710026570168,0.37635281003257537
2020-06-05,79,78.00875585946453,0.09053882249612441,0.3239562180833494,0.09661979212158268,0.36105701976021876
2020-06-06,86,78.25879308477585,0.08085823894413777,0.2796263578752338,0.07931157413247482,0.27247839863617657
2020-06-07,76,78.50677557263867,0.09152259906127694,0.3294409258189301,0.09097731931495072,0.32254518876870386
2020-06-08,79,78.75265431652959,0.08964110669171237,0.31977002352039624,0.09164069204152249,0.32730380678182497
2020-06-09,87,78.99637570263545,0.08259966222820536,0.2871448126879558,0.0814747241011036,0.28069918620941003
2020-06-10,85,79.23788150042155,0.09541647652816324,0.3554125317928203,0.09923824533753614,0.382793140434444
2020-06-11,84,79.47710886746272,0.09162127592562666,0.3309325377602731,0.09112665932930528,0.32625984868224406
2020-06-12,85,79.71399036853961,0.09227649635887,0.3355606360442638,0.09858328490586263,0.3743264978892508
2020-06-13,75,79.94845400896567,0.09475798439049585,0.3514530871076142,0.09221995464852609,0.33130097793584273
2020-06-14,74,80.18042328207325,0.09515223902354322,0.35385308943076,0.09342176870748299,0.3397258437306966
2020-06-15,75,80.40981723075014,0.09537356957861408,0.3550514977444605,0.09418027210884353,0.34567762318884226
2020-06-16,78,80.63655052288146,0.09043111692245995,0.32545072640379824,0.09274716553287983,0.3366703946094951
2020-06-17,78,80.86053354051542,0.09060708716186629,0.3264088690021987,0.09222448979591838,0.3337792821059462
2020-06-18,77,81.08167248253595,0.09090964834715719,0.32795944048951103,0.09226417233560091,0.3338052098719202
2020-06-19,83,81.29986948059026,0.08783953403501393,0.31148013242858885,0.07847165532879821,0.27030471921188004
2020-06-20,86,81.51502272798447,0.09183570715618122,0.33378873308675683,0.09560657596371883,0.3554174275364059
2020-06-21,88,81.72702662122752,0.09603229583267883,0.3618362808421597,0.09465532879818592,0.34884264127024944
2020-06-22,90,81.93577191387023,0.08824479941140491,0.31411888759589834,0.09318934240362811,0.33958244241144414
2020-06-23,87,82.14114588225505,0.09088717433081282,0.32826880323231766,0.09074149659863946,0.3255536898456509
2020-06-24,86,82.34303250276069,0.09012730254030882,0.32378784049725834,0.08941043083900227,0.31791644882715475
2020-06-25,87,82.5413126400971,0.09148129766298395,0.3316113844598463,0.08812131519274377,0.31074068828117146
2020-06-26,87,82.73586424617628,0.09084405160247333,0.3279642229851026,0.08757936507936508,0.3083632565228344
2020-06-27,80,82.92656256905931,0.0895008020978237,0.3203691961587378,0.09191043083900227,0.3310831461726825
2020-06-28,90,83.11328037145189,0.09454685384161332,0.35029360019977845,0.09630385487528346,0.3589764223920036
2020-06-29,87,83.2958881581977,0.08915632213057631,0.31790989010817816,0.08689342403628117,0.3039890991680306
2020-06-30,80,83.4742544121954,0.0906906305248372,0.3258471641091708,0.09272448979591838,0.3340822537915922
2020-07-01,80,83.64824583814354,0.08868391633552938,0.31601024619695167,0.09211224489795919,0.3312082941190302
2020-07-02,92,83.8177276134978,0.0905325736021465,0.32576292702677945,0.09263832199546486,0.33404033785434645
2020-07-03,90,84.05002671819626,0.09505297890597778,0.3538370999280102,0.09923309897241751,0.3805199949809413
2020-07-04,87,84.20929238535072,0.08532971412020605,0.29935316379452914,0.08485283170597854,0.2938336622410153
2020-07-05,92,84.36359419410303,0.08859440069774263,0.3147311306324248,0.09215106122805485,0.3306582553980444
2020-07-06,96,84.51279552371851,0.09372768243115806,0.34464603435435653,0.09690285143888247,0.3642274035318209
2020-07-07,82,84.6567596457574,0.08796485773687288,0.3120597292743116,0.08372787586237299,0.2907179577769885
2020-07-08,83,84.79535000031535,0.08478035130097614,0.29696886516426146,0.08441688581314878,0.2943807456645916
2020-07-09,89,84.92843047457832,0.09018488629253688,0.32337838724739343,0.09235826806692775,0.3347924528461007
2020-07-10,77,85.0558656829905,0.09882530401698084,0.38308514226546736,0.09838315756529127,0.37836005269026296
2020-07-11,83,85.17752124832884,0.08519736109428012,0.2985571787911072,0.08550683946901462,0.29979411145518053
2020-07-12,87,85.29326408297761,0.08520495416077736,0.2984439694349899,0.08685010804497831,0.3061482494499824
2020-07-13,86,85.40296266969487,0.0836898187165403,0.2916054577894501,0.08399886621315193,0.2929481858117772
2020-07-14,85,85.506487341166,0.08401219336574052,0.2934112191136829,0.08380045351473923,0.29282862305856106
2020-07-15,82,85.60371055764256,0.08705765516050992,0.3073362335716798,0.08617233560090702,0.30354072189243697
2020-07-16,78,85.69450718197076,0.09732600267865345,0.37065546229042867,0.09053854875283447,0.3254170941754498
2020-07-17,84,85.77875475132072,0.08416775907556931,0.29420444868421514,0.07979138321995465,0.27559657543351834
2020-07-18,91,85.85633374493744,0.0915850847542506,0.33137172622366856,0.09782199546485261,0.373578080361916
2020-07-19,94,85.92712784724557,0.09220854881620777,0.33508063700020035,0.0922358276643991,0.3337871420115288
2020-07-20,93,85.99102420565212,0.09694754152117112,0.3676039187143061,0.10087755102040816,0.4003508448820897
2020-07-21,91,86.04791368240566,0.09180329428040764,0.3327877666218136,0.097437641723356,0.36974390875673435
